year,rating,review
2022,1,"This is said to be the best travel search engine but the functionality is horrible. (A) half the time the SET PRICE ALERT button doesn't appear anywhere & (B) on my homescreen there's a ""4"" in a red circle on Skyscanner's app which I assume means I have 4 messages but I can't find any way to retrieve them. There's no msg button! This is frustrating when you're competition (Kayak and Hopper) always function flawlessly 100% of the time. (PLS REPLY HERE. IF U SEND A MSG IN THE APP I CAN'T OPEN). TY"
2021,1,"Why strip away all the features that made Skyscanner an excellent app? Years ago, Skyscanner was intuitive, informative, streamlined, interactive, and flexible. You could easily select ""nearby airports"" to view alternatives; ""flexible dates"" to show better fares near your search dates, or ""view entire month"" to see all known fares for each day within a month. You could set filters for flight duration, number of stops, airlines, and price. All of these features are gone. Skyscanner is dead."
2019,1,"Horrific in the US... I first learned about this app through my travels in Asia and have to say it has saved me time and money on that continent. However, in the US when I search for flights I only get the ""major"" carriers and very few if not, none of the budget carriers show up in the search. I just saved $120 on RT flights by NOT using this app"
2022,1,"This used to be a great app that lets you explore the cheapest flights across a wide range of locations and potential dates. It allowed you to plan a flight date and location around the cheapest option. Now the app has reduced functionality, only allowing you to enter predetermined dates and locations to search for tickets. Skyscanner, what happened?!?"
2021,3,"it was better before the update. The good thing its that now it will search roundtrip and give you results from different airlines, I use to search flights just one way to go and return so in that way I was able to find the best deals from differents airlines. The best thing from the old app was the scale graphic of prices per date now you just have the option to look in the calendar instead of this way"
2019,1,"I tried Skyscanner and found it not very good.  Plugged in a roundtrip from Local City to Washington Dulles.  Matched its results against Expedia.  This is where everything failed.  Came up with different prices and had to go way down the list to find my outgoing flight. Selected it and then return screen would only show me the same airline coming back.  Pricing was $150 higher then Expedia directly.  Seems with this scenario, it will only show same airline going and returning which in the real world is not always the cheapest fair and cheap price is not always cheapest to fly.  You have to take also into consideration now baggage fees and flight times"
2019,2,"This is one of those rare situations where the app is inferior to the mobile website. While it is a pain in the butt to continue going to the website each time I want to use this service, I find the app clunky and simply not as functional. The website allows you to search flights by month and see prices for each day during that month. This app only allows viewing prices by color (red for high) similar to other flight apps such as kayak. I will continue using the website and uninstall the app."
2022,2,"Prices jump if you check too many times. Edit: I realized that the issue is that the advertised price isn't consistent with the price that you're given when proceeding through the app. For instance, London to Corfu, Greece is advertised as 55 pounds. Once I click and it searches for the round trip, the price jumps to 85 pounds per person while still in the app."
2022,1,"I decided to go to a different rental car company (Nü) and different app (Expedia) because they took 1,000+ on an unauthorized charge. I decided to use Skyscanner, I found economy bookings, who uses the rent plus counter at the prague Airport. Without my consent, Nü came back to be refusing my request for the full refund with the contract I had through economybookings. I am very disappointed in Skyscanner and Expedia for being this irresponsible."
2019,5,"**Edit ** AWESOME update, devs! I was literally just wishing for the ability to find the best dates to fly back to visit family. I already love the explore anywhere feature, and Skyscanner regularly catches deals that other apps don't. I recommend this app to anyone who loves to travel, and with your newest addition I can recommended it to people who grew up elsewhere and fly home. I've had this app for years and it's awesome."
2021,1,Skyscanner was recommended to me but I couldn't figure out what the big deal was. Functioned just like any other travel app. It gave very specific dates even on the full month search (which was very hard to find btw). Instead of giving up I watched recent YouTube reviews. The positive ones only review the website. Turns out this app is lacking the main functionality of website - the month feature that shows all dates' prices in a calendar. Game changer. Not in this app at all only on site. Dumb.
2021,2,"Searching is difficult. I specifically want to search flights without set dates. I know it can be done, but it's difficult to get to. Nothing in support to help. OH, and my ""trip type"" is not even an option, it only goes up to 7 days, I want 10. Basically, the search options for what I'm trying to find don't actually exist in this app."
2021,2,I loved this app for years. Since the recent update I find that's its much harder to use and more difficult to find the cheapest flights possible. What happened to the estimate price on the calendar or the bar graph with estimate prices. The older format was a lot more functional. Bring it back.
2020,1,"What happened to the explore option? If you wanted to find a cheap flight to anywhere, you used to be able to filter by worldwide, by cheapest month, cheapest days etc. All this is gone. It's now just a simple a flight from X airport to X airport. This is terrible. I have to go to the desktop version to use the fully functional Skyscanner"
2019,5,"I love this app. However, recently, when I choose explore everywhere and select a month, it won't go forward to the search. It reverts to the explore everywhere page on my android device. This feature has worked before though, so I have no doubt this glitch will be quickly fixed. The dev team for this app seems to be top notch."
2023,1,"I've gone through most reviews made about this app and support the comments. You select dates and find good deals, once you click roundtrip only, flight search results return crazy prices for one way.What happens to the good deals showing before one makes a choice of dates? Searching flights incognito doesn't help in anyway as the app still lets cookies track and alter your preferences."
2018,4,"Not all the features of the website, but still useful and handy. Try a spontaneous trip by putting in your home airport and no destination. Go where it sounds interesting and cheap. I've seen a couple great things on a long weekend or two that way that I wouldn't have normally."
